RespId,weight,age,Education,race,gender,income_cat,voter_category,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
470079,1.2153,66,Some college,White,Female,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important
470080,1.2914,29,Some college,White,Female,$75-125k,rarely/never,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not at all important,Not at all important
470082,1.2471,43,College,White,Male,$125k or more,sporadic,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470087,1.0098,56,Some college,White,Male,Less than $40k,rarely/never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470088,1.0457,64,Some college,White,Female,$125k or more,sporadic,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Not so important
470090,1.1668,57,High school or less,White,Female,Less than $40k,rarely/never,Very important,Very important,Not at all important,Somewhat important,Very important,Not so important,Somewhat important,Somewhat important,Very important,Not so important
470092,1.0594,26,College,Other/Mixed,Male,$125k or more,rarely/never,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Not so important,Very important,Not at all important,Very important
470094,0.3085,75,College,Black,Male,$40-75k,always,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important
470096,1.3098,54,Some college,Other/Mixed,Female,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,,Somewhat important,Somewhat important,Not at all important
470097,0.6002,73,College,Other/Mixed,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470098,0.9865,27,College,White,Female,$40-75k,rarely/never,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470101,0.9412,49,College,Other/Mixed,Male,$125k or more,rarely/never,Somewhat important,Not so important,Somewhat important,Not so important,Very important,Not so important,Somewhat important,Very important,,Somewhat important
470102,1.0557,56,High school or less,White,Male,$40-75k,rarely/never,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important
470103,0.5504,59,College,Black,Male,$125k or more,sporadic,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important
470104,0.9323,72,High school or less,White,Male,$75-125k,always,Very important,Somewhat important,Very important,Not at all important,Very important,Not at all important,Not so important,Very important,Not at all important,Very important
470106,1.0936,39,Some college,White,Male,Less than $40k,rarely/never,Somewhat important,Not so important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not at all important,Not so important
470107,1.2687,40,College,White,Male,$125k or more,rarely/never,Very important,Very important,Very important,Not at all important,Very important,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important
470108,0.6793,62,High school or less,Black,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470109,0.8728,75,High school or less,White,Male,Less than $40k,rarely/never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470111,0.8314,74,College,White,Female,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Not so important
470112,1.0482,62,High school or less,Hispanic,Female,$75-125k,rarely/never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
